"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (SAVI BC Dataset_v0) - _step","agent_type: gw (SAVI BC Dataset_v0) - _step__MIN","agent_type: gw (SAVI BC Dataset_v0) - _step__MAX","agent_type: gw (SAVI BC Dataset_v0) - metrics/success","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MAX"
"2985000","796.4","796","797","0.20000000596046447","0","0.6000000238418579","797","797","797","0.6000000178813935","0.4000000059604645","0.800000011920929"
"3000000","800.4","800","801","0.16000000536441802","0","0.6000000238418579","801","801","801","0.6000000149011612","0.20000000298023224","0.800000011920929"
"3015000","804.4","804","805","0.12000000476837158","0","0.6000000238418579","805","805","805","0.600000011920929","0","1"
"3030000","808.4","808","809","0.360000005364418","0","0.800000011920929","809","809","809","0.4400000095367432","0","0.800000011920929"
"3045000","812.4","812","813","0.20000000298023224","0","0.4000000059604645","813","813","813","0.44000000655651095","0","1"
"3060000","816.4","816","817","0.3200000047683716","0","0.800000011920929","817","817","817","0.5600000023841858","0.20000000298023224","1"
"3075000","820.4","820","821","0.3600000083446503","0","0.800000011920929","821","821","821","0.44000000655651095","0","1"
"3090000","824.4","824","825","0.44000000655651095","0","0.800000011920929","825","825","825","0.6000000059604644","0.4000000059604645","1"
"3105000","828.4","828","829","0.12000000178813934","0","0.4000000059604645","829","829","829","0.32000001072883605","0","0.6000000238418579"
"3120000","832.4","832","833","0.3200000047683716","0","0.800000011920929","833","833","833","0.5200000077486038","0.20000000298023224","1"
"3135000","836.4","836","837","0.40000001192092893","0.20000000298023224","0.6000000238418579","837","837","837","0.4000000059604645","0","0.800000011920929"
